0 	 0.000000000000000 1.232000000000000 1.300000000000000  0.500000000000037 -0.144487040479574  0.772282817602042 -0.823686885651992 0.075778781619421 1.151615659306874 1.523370533052742 0.656439112023560 1.472986337625907 2.520708515354494
1 	 0.000244140625000 1.232000000000000 1.300000000000000  0.500500738559307 -0.143867623064363  0.781505201597931 -0.814014769202334 0.081314388055078 1.133197655187582 1.523370533052742 0.656439112023560 1.467120956779881 2.518667462900841
2 	 0.000488281250000 1.232000000000000 1.300000000000000  0.501001442004835 -0.143248252435962  0.790874059000582 -0.804514183672155 0.086910788158904 1.115057451904694 1.523370533052742 0.656439112023560 1.461343440049532 2.516582284204912
3 	 0.000732421875000 1.232000000000000 1.300000000000000  0.501502075144233 -0.142628907433541  0.800381563779496 -0.795192018680569 0.092567578686228 1.097204152087752 1.523370533052742 0.656439112023560 1.455653576907092 2.514452345939175
4 	 0.000976562500000 1.232000000000000 1.300000000000000  0.502002602627491 -0.142009568610597  0.810019505790153 -0.786054615490098 0.098284143780544 1.079645939011492 1.523370533052742 0.656439112023560 1.450051040890487 2.512277044566628
5 	 0.001220703125000 1.232000000000000 1.300000000000000  0.502502988868488 -0.141390218194916  0.819779327000480 -0.777107747653077 0.104059652701178 1.062390064955387 1.523370533052742 0.656439112023560 1.444535400339179 2.510055811779525
6 	 0.001464843750000 1.232000000000000 1.300000000000000  0.503003197966030 -0.140770840051389  0.829652154356258 -0.768356611202649 0.109893058890818 1.045442854473798 1.523370533052742 0.656439112023560 1.439106128440252 2.507788120484468
7 	 0.001708984375000 1.232000000000000 1.300000000000000  0.503503193625401 -0.140151419648685  0.839628827066844 -0.759805825021509 0.115783099842592 1.028809723114819 1.523370533052742 0.656439112023560 1.433762612619890 2.505473491390194
8 	 0.001953125000000 1.232000000000000 1.300000000000000  0.504002939079540 -0.139531944028697  0.849699916246543 -0.751459441776067 0.121728297180458 1.012495211659309 1.523370533052742 0.656439112023560 1.428504163296729 2.503111500222328
9 	 0.002197265625000 1.232000000000000 1.300000000000000  0.504502397010826 -0.138912401779683  0.859855735435092 -0.743320968909216 0.127726956366093 0.996503034777028 1.523370533052742 0.656439112023560 1.423330022033952 2.500701785623593
10 	 0.002441406250000 1.232000000000000 1.300000000000000  0.505001529472634 -0.138292783012025  0.870086340870371 -0.735393398998961 0.133777165473295 0.980836142669415 1.523370533052742 0.656439112023560 1.418239369108895 2.498244057762943
11 	 0.002685546875000 1.232000000000000 1.300000000000000  0.505500297811716 -0.137673079337470  0.880381521204596 -0.727679247970817 0.139876792562115 0.965496793265492 1.523370533052742 0.656439112023560 1.413231330536779 2.495738107711188
12 	 0.002929687500000 1.232000000000000 1.300000000000000  0.505998662590619 -0.137053283850792  0.890730776819384 -0.720180599604673 0.146023481287817 0.950486632456317 1.523370533052742 0.656439112023560 1.408304984567883 2.493183817602808
13 	 0.003173828125000 1.232000000000000 1.300000000000000  0.506496583511279 -0.136433391114648  0.901123289766412 -0.712899154162876 0.152214644542639 0.935806779188179 1.523370533052742 0.656439112023560 1.403459367693825 2.490581171637068
14 	 0.003417968750000 1.232000000000000 1.300000000000000  0.506994019339110 -0.135813397146598  0.911547885866296 -0.705836279066226 0.158447456094206 0.921457912393892 1.523370533052742 0.656439112023560 1.398693480181609 2.487930267929344
15 	 0.003662109375000 1.232000000000000 1.300000000000000  0.507490927828788 -0.135193299408963  0.921992991224449 -0.698993059216417 0.164718840378559 0.907440356499341 1.523370533052742 0.656439112023560 1.394006291169819 2.485231331255911
16 	 0.003906250000000 1.232000000000000 1.300000000000000  0.507987265651208 -0.134573096800506  0.932446585807623 -0.692370344847557 0.171025460793397 0.893754162663833 1.523370533052742 0.656439112023560 1.389396743344033 2.482484726687969
17 	 0.004150390625000 1.232000000000000 1.300000000000000  0.508482988322908 -0.133952789650517  0.942896157232324 -0.685968794686293 0.177363707027577 0.880399182980274 1.523370533052742 0.656439112023560 1.384863757223717 2.479690974140460
18 	 0.004394531250000 1.232000000000000 1.300000000000000  0.508978050137608 -0.133332379714282  0.953328657993161 -0.679788912703815 0.183729682113311 0.867375135559214 1.523370533052742 0.656439112023560 1.380406235076608 2.476850763807483
19 	 0.004638671875000 1.232000000000000 1.300000000000000  0.509472404101281 -0.132711870170400  0.963730469577550 -0.673831076796739 0.190119190032856 0.854681658674619 1.523370533052742 0.656439112023560 1.376023064489944 2.473964972482224
20 	 0.004882812500000 1.232000000000000 1.300000000000000  0.509966001870613 -0.132091265618941  0.974087376599642 -0.668095558412292 0.196527724777184 0.842318353031327 1.523370533052742 0.656439112023560 1.371713121612986 2.471034680697729
21 	 0.005126953125000 1.232000000000000 1.300000000000000  0.510458793696409 -0.131470572080764  0.984384553973118 -0.662582532278045 0.202950461813889 0.830284811539199 1.523370533052742 0.656439112023560 1.367475274097898 2.468061190646032
22 	 0.005371093750000 1.232000000000000 1.300000000000000  0.510950728372044 -0.130849796996968  0.994606569478134 -0.657292076143611 0.209382252880530 0.818580636882678 1.523370533052742 0.656439112023560 1.363308383751463 2.465046044762472
23 	 0.005615234375000 1.232000000000000 1.300000000000000  0.511441753188682 -0.130228949228676  1.004737403607598 -0.652224160640412 0.215817624961631 0.807205447502187 1.523370533052742 0.656439112023560 1.359211308922423 2.461991044877128
24 	 0.005859375000000 1.232000000000000 1.300000000000000  0.511931813897604 -0.129608039056061  1.014760487692827 -0.647378630060874 0.222250784162854 0.796158873361562 1.523370533052742 0.656439112023560 1.355182906635276 2.458898271754685
25 	 0.006103515625000 1.232000000000000 1.300000000000000  0.512420854681574 -0.128987078176691  1.024658760598774 -0.642755175023708 0.228675625027941 0.785440543088144 1.523370533052742 0.656439112023560 1.351222034492989 2.455770104851959
26 	 0.006347656250000 1.232000000000000 1.300000000000000  0.512908818135827 -0.128366079702044  1.034414743284926 -0.638353298587773 0.235085745610245 0.775050064626382 1.523370533052742 0.656439112023560 1.347327552357859 2.452609242031805
27 	 0.006591796875000 1.232000000000000 1.300000000000000  0.513395645260802 -0.127745058152104  1.044010629812493 -0.634172277397024 0.241474468379864 0.764987001512498 1.523370533052742 0.656439112023560 1.343498323831503 2.449418718973310
28 	 0.006835937500000 1.232000000000000 1.300000000000000  0.513881275467442 -0.127124029446868  1.053428392424240 -0.630211119910673 0.247834866764804 0.755250847214300 1.523370533052742 0.656439112023560 1.339733217541235 2.446201927918466
29 	 0.007080078125000 1.232000000000000 1.300000000000000  0.514365646597351 -0.126503010894484  1.062649897816536 -0.626468523594249 0.254159796891552 0.745840999661239 1.523370533052742 0.656439112023560 1.336031108252777 2.442962635392561
30 	 0.007324218750000 1.232000000000000 1.300000000000000  0.514848694958823 -0.125882021174818  1.071657031028474 -0.622942833254053 0.260441933829221 0.736756738188308 1.523370533052742 0.656439112023560 1.332390877815261 2.439704998429049
31 	 0.007568359375000 1.232000000000000 1.300000000000000  0.515330355381131 -0.125261080318053  1.080431823199359 -0.619632002341888 0.266673811462777 0.727997204576100 1.523370533052742 0.656439112023560 1.328811415957301 2.436433578827928
32 	 0.007812500000000 1.232000000000000 1.300000000000000  0.515810561288182 -0.124640209677040  1.088956579196736 -0.616533559180205 0.272847864954042 0.719561389746223 1.523370533052742 0.656439112023560 1.325291620939762 2.433153354869606
33 	 0.008056640625000 1.232000000000000 1.300000000000000  0.516289244793960 -0.124019431892935  1.097214001337550 -0.613644579572836 0.278956474673896 0.711448127002529 1.523370533052742 0.656439112023560 1.321830400082520 2.429869729911118
34 	 0.008300781250000 1.232000000000000 1.300000000000000  0.516766336820746 -0.123398770852865  1.105187305679445 -0.610961667233587 0.284992010463376 0.703656092444837 1.523370533052742 0.656439112023560 1.318426670171284 2.426588537198304
35 	 0.008544921875000 1.232000000000000 1.300000000000000  0.517241767242412 -0.122778251639056  1.112860327988924 -0.608480942885113 0.290946875144436 0.696183812460612 1.523370533052742 0.656439112023560 1.315079357761120 2.423316040247022
36 	 0.008789062500000 1.232000000000000 1.300000000000000  0.517715465053513 -0.122157900468300  1.120217617104178 -0.606198042793873 0.296813546309819 0.689029677950113 1.523370533052742 0.656439112023560 1.311787399382609 2.420058928078721
37 	 0.009033203125000 1.232000000000000 1.300000000000000  0.518187358566010 -0.121537744621209  1.127244514397968 -0.604108126842739 0.302584615629657 0.682191964219980 1.523370533052742 0.656439112023560 1.308549741667744 2.416824304650964
38 	 0.009277343750000 1.232000000000000 1.300000000000000  0.518657375633882 -0.120917812360302  1.133927218827661 -0.602205896176748 0.308252825124402 0.675668855346976 1.523370533052742 0.656439112023560 1.305365341401527 2.413619671790952
39 	 0.009521484375000 1.232000000000000 1.300000000000000  0.519125443906713 -0.120298132836544  1.140252838152443 -0.600485619791452 0.313811100149591 0.669458471209669 1.523370533052742 0.656439112023560 1.302233165516707 2.410452905048386
40 	 0.009765625000000 1.232000000000000 1.300000000000000  0.519591491111651 -0.119678735983668  1.146209427671665 -0.598941169406234 0.319252579103804 0.663558895406876 1.523370533052742 0.656439112023560 1.299152191038483 2.407332221907163
41 	 0.010009765625000 1.232000000000000 1.300000000000000  0.520055445363837 -0.119059652400199  1.151786018761963 -0.597566061371179 0.324570640174689 0.657968201872586 1.523370533052742 0.656439112023560 1.296121404996363 2.404266141964876
