0 	 0.000000000000000 1.000000000000000 1.300000000000000  0.500000000000002 -0.138144604615285  0.754990618442709 -0.547960249018298 0.416121357662022 1.014362623234734 2.237388929973856 0.446949560982980 1.067062217127364 2.646303365905392
1 	 0.000976562500000 1.000000000000000 1.300000000000000  0.501204026219888 -0.135859066918624  0.756288212412062 -0.547030102696236 0.417892935002706 1.011852623507467 2.237388929973856 0.446949560982980 1.065991491116030 2.645977702231932
2 	 0.001953125000000 1.000000000000000 1.300000000000000  0.502408007822974 -0.133573160032332  0.757601235317624 -0.546112009162015 0.419671477680067 1.009323318781336 2.237388929973856 0.446949560982980 1.064927289326146 2.645633292045336
3 	 0.002929687500000 1.000000000000000 1.300000000000000  0.503611900235332 -0.131286922692182  0.758929093732081 -0.545206390586638 0.421456610101640 1.006775726659419 2.237388929973856 0.446949560982980 1.063869677264632 2.645270093540841
4 	 0.003906250000000 1.000000000000000 1.300000000000000  0.504815658968684 -0.129000391703339  0.760271192870963 -0.544313664483768 0.423247950461617 1.004210854318223 2.237388929973856 0.446949560982980 1.062818721090557 2.644888064142075
5 	 0.004882812500000 1.000000000000000 1.300000000000000  0.506019239663001 -0.126713601985209  0.761626937893567 -0.543434242830920 0.425045111590828 1.001629696464010 2.237388929973856 0.446949560982980 1.061774487498888 2.644487160475522
6 	 0.005859375000000 1.000000000000000 1.300000000000000  0.507222598128832 -0.124426586616960  0.762995735210641 -0.542568531211241 0.426847701829221 0.999033233343938 2.237388929973856 0.446949560982980 1.060737043599566 2.644067338344898
7 	 0.006835937500000 1.000000000000000 1.300000000000000  0.508425690389262 -0.122139376883650  0.764376993794757 -0.541716927978230 0.428655325917691 0.996422428818370 2.237388929973856 0.446949560982980 1.059706456792851 2.643628552705659
8 	 0.007812500000000 1.000000000000000 1.300000000000000  0.509628472721440 -0.119852002322824  0.765770126489523 -0.540879823445442 0.430467585906148 0.993798228500110 2.237388929973856 0.446949560982980 1.058682794641826 2.643170757639931
9 	 0.008789062500000 1.000000000000000 1.300000000000000  0.510830901697558 -0.117564490771505  0.767174551313396 -0.540057599103249 0.432284082074457 0.991161557966218 2.237388929973856 0.446949560982980 1.057666124742915 2.642693906332122
10 	 0.009765625000000 1.000000000000000 1.300000000000000  0.512032934225235 -0.115276868413476  0.768589692754123 -0.539250626864482 0.434104413862989 0.988513321047481 2.237388929973856 0.446949560982980 1.056656514595278 2.642197951045483
11 	 0.010742187500000 1.000000000000000 1.300000000000000  0.513234527587195 -0.112989159826752  0.770014983049688 -0.538459268340730 0.435928180809390 0.985854398200441 2.237388929973856 0.446949560982980 1.055654031469853 2.641682843099890
12 	 0.011718750000000 1.000000000000000 1.300000000000000  0.514435639480197 -0.110701388031156  0.771449863451665 -0.537683874150786 0.437754983488160 0.983185644966154 2.237388929973856 0.446949560982980 1.054658742278839 2.641148532851138
13 	 0.012695312500000 1.000000000000000 1.300000000000000  0.515636228053114 -0.108413574535905  0.772893785466998 -0.536924783262774 0.439584424449661 0.980507890519885 2.237388929973856 0.446949560982980 1.053670713446323 2.640594969672002
14 	 0.013671875000000 1.000000000000000 1.300000000000000  0.516836251944121 -0.106125739387124  0.774346212074248 -0.536182322371147 0.441416109155157 0.977821936315040 2.237388929973856 0.446949560982980 1.052690010780736 2.640022101935349
15 	 0.014648437500000 1.000000000000000 1.300000000000000  0.518035670316920 -0.103837901215189  0.775806618910266 -0.535456805309757 0.443249646904454 0.975128554824648 2.237388929973856 0.446949560982980 1.051716699349778 2.639429876999570
16 	 0.015625000000000 1.000000000000000 1.300000000000000  0.519234442895940 -0.101550077281846  0.777274495423688 -0.534748532501949 0.445084651752876 0.972428488382987 2.237388929973856 0.446949560982980 1.050750843358389 2.638818241196591
17 	 0.016601562500000 1.000000000000000 1.300000000000000  0.520432530000471 -0.099262283526998  0.778749345991418 -0.534057790448483 0.446920743414244 0.969722448129564 2.237388929973856 0.446949560982980 1.049792506030319 2.638187139822731
18 	 0.017578125000000 1.000000000000000 1.300000000000000  0.521629892577678 -0.096974534615112  0.780230690994490 -0.533384851254077 0.448757548146601 0.967011113057467 2.237388929973856 0.446949560982980 1.048841749493771 2.637536517132654
19 	 0.018554687500000 1.000000000000000 1.300000000000000  0.522826492234459 -0.094686843981163  0.781718067850028 -0.532729972193006 0.450594699617617 0.964295129167339 2.237388929973856 0.446949560982980 1.047898634671579 2.636866316336648
20 	 0.019531250000000 1.000000000000000 1.300000000000000  0.524022291268103 -0.092399223876055  0.783211031995842 -0.532093395314286 0.452431839746539 0.961575108728127 2.237388929973856 0.446949560982980 1.046963221176300 2.636176479601493
21 	 0.020507812500000 1.000000000000000 1.300000000000000  0.525217252695726 -0.090111685411461  0.784709157824651 -0.531475347086643 0.454268619519782 0.958851629645151 2.237388929973856 0.446949560982980 1.046035567210567 2.635466948055107
