0 	 0.000000000000000 0.700000000000000 1.300000000000000  0.500000000001398 -0.098864267208543  0.798765507821464 -0.492291709650656 0.495246492227399 0.945207402753635 2.634786922719229 0.379537332354578 1.015789858652205 2.661420796911734
1 	 0.000976562500000 0.700000000000000 1.300000000000000  0.500866137991614 -0.097278371985474  0.799270696490660 -0.491984543360276 0.495957219212210 0.944362818138418 2.634786922719229 0.379537332354578 1.015430703701154 2.661310254003950
2 	 0.001953125000000 0.700000000000000 1.300000000000000  0.501732256282595 -0.095689882951651  0.799782611899244 -0.491681609665809 0.496671485949460 0.943507106180362 2.634786922719229 0.379537332354578 1.015072737536295 2.661191164749217
3 	 0.002929687500000 0.700000000000000 1.300000000000000  0.502598335175931 -0.094098850984939  0.800301182611330 -0.491382951309531 0.497389206024614 0.942640413131871 2.634786922719229 0.379537332354578 1.014716003691020 2.661063532754379
4 	 0.003906250000000 0.700000000000000 1.300000000000000  0.503464354974858 -0.092505326633146  0.800826336547679 -0.491088610573944 0.498110292912780 0.941762885826195 2.634786922719229 0.379537332354578 1.014360545065984 2.660927361971618
5 	 0.004882812500000 0.700000000000000 1.300000000000000  0.504330295985069 -0.090909360116277  0.801358001011504 -0.490798629266224 0.498834659988831 0.940874671627988 2.634786922719229 0.379537332354578 1.014006403934003 2.660782656704167
6 	 0.005859375000000 0.700000000000000 1.300000000000000  0.505196138515525 -0.089311001328978  0.801896102714205 -0.490513048702856 0.499562220537649 0.939975918384461 2.634786922719229 0.379537332354578 1.013653621945025 2.660629421612184
7 	 0.006835937500000 0.700000000000000 1.300000000000000  0.506061862879241 -0.087710299843163  0.802440567800986 -0.490231909694483 0.500292887764484 0.939066774377141 2.634786922719229 0.379537332354578 1.013302240131152 2.660467661718782
8 	 0.007812500000000 0.700000000000000 1.300000000000000  0.506927449394067 -0.086107304910818  0.802991321876309 -0.489955252530993 0.501026574805379 0.938147388274360 2.634786922719229 0.379537332354578 1.012952298911728 2.660297382416212
9 	 0.008789062500000 0.700000000000000 1.300000000000000  0.507792878383437 -0.084502065466979  0.803548290029064 -0.489683116966893 0.501763194737606 0.937217909084532 2.634786922719229 0.379537332354578 1.012603838098456 2.660118589472196
