0 	 0.000000000000000 0.400000000000000 1.300000000000000  0.500000000000003 -0.056620595667953  0.822857510495999 -0.467324734287592 0.534879365209672 0.911295716866403 2.859266170212832 0.349740087305521 0.994402325476853 2.667746879951944
1 	 0.000976562500000 0.400000000000000 1.300000000000000  0.500507729684303 -0.055722456612013  0.823013647929520 -0.467237280745202 0.535093347412200 0.911058186489959 2.859266170212832 0.349740087305521 0.994306250153413 2.667717023064776
2 	 0.001953125000000 0.400000000000000 1.300000000000000  0.501015443362964 -0.054822378282113  0.823171913768496 -0.467151061164503 0.535308667044883 0.910816875220993 2.859266170212832 0.349740087305521 0.994210263117940 2.667684393259962
3 	 0.002929687500000 0.400000000000000 1.300000000000000  0.501523125030144 -0.053920393141580  0.823332285432397 -0.467066087896558 0.535525293653574 0.910571820779161 2.859266170212832 0.349740087305521 0.994114378498632 2.667648994287750
4 	 0.003906250000000 0.400000000000000 1.300000000000000  0.502030758679588 -0.053016533668035  0.823494740068492 -0.466982373131687 0.535743196648081 0.910323061330848 2.859266170212832 0.349740087305521 0.994018610358780 2.667610830201621
5 	 0.004882812500000 0.400000000000000 1.300000000000000  0.502538328304426 -0.052110832352672  0.823659254554591 -0.466899928897954 0.535962345305509 0.910070635482761 2.859266170212832 0.349740087305521 0.993922972695054 2.667569905358368
6 	 0.005859375000000 0.400000000000000 1.300000000000000  0.503045817896966 -0.051203321699558  0.823825805501833 -0.466818767059678 0.536182708773611 0.909814582275536 2.859266170212832 0.349740087305521 0.993827479435837 2.667526224418178
7 	 0.006835937500000 0.400000000000000 1.300000000000000  0.503553211448493 -0.050294034224951  0.823994369257482 -0.466738899315949 0.536404256074131 0.909554941177331 2.859266170212832 0.349740087305521 0.993732144439582 2.667479792344730
8 	 0.007812500000000 0.400000000000000 1.300000000000000  0.504060492949058 -0.049383002456644  0.824164921907740 -0.466660337199162 0.536626956106125 0.909291752077403 2.859266170212832 0.349740087305521 0.993636981493211 2.667430614405291
9 	 0.008789062500000 0.400000000000000 1.300000000000000  0.504567646387281 -0.048470258933329  0.824337439280593 -0.466583092073556 0.536850777649303 0.909025055279698 2.859266170212832 0.349740087305521 0.993542004310551 2.667378696170819
10 	 0.009765625000000 0.400000000000000 1.300000000000000  0.505074655750142 -0.047555836203983  0.824511896948660 -0.466507175133770 0.537075689367332 0.908754891496424 2.859266170212832 0.349740087305521 0.993447226530801 2.667324043516078
11 	 0.010742187500000 0.400000000000000 1.300000000000000  0.505581505022781 -0.046639766827275  0.824688270232076 -0.466432597403424 0.537301659811166 0.908481301841650 2.859266170212832 0.349740087305521 0.993352661717032 2.667266662619751
12 	 0.011718750000000 0.400000000000000 1.300000000000000  0.506088178188297 -0.045722083370995  0.824866534201373 -0.466359369733688 0.537528657422336 0.908204327824868 2.859266170212832 0.349740087305521 0.993258323354727 2.667206559964560
13 	 0.012695312500000 0.400000000000000 1.300000000000000  0.506594659227542 -0.044802818411501  0.825046663680412 -0.466287502801893 0.537756650536269 0.907924011344598 2.859266170212832 0.349740087305521 0.993164224850348 2.667143742337394
14 	 0.013671875000000 0.400000000000000 1.300000000000000  0.507100932118923 -0.043882004533192  0.825228633249290 -0.466217007110130 0.537985607385565 0.907640394681959 2.859266170212832 0.349740087305521 0.993070379529943 2.667078216829433
15 	 0.014648437500000 0.400000000000000 1.300000000000000  0.507606980838204 -0.042959674327997  0.825412417247304 -0.466147892983886 0.538215496103304 0.907353520494274 2.859266170212832 0.349740087305521 0.992976800637781 2.667009990836282
16 	 0.015625000000000 0.400000000000000 1.300000000000000  0.508112789358301 -0.042035860394882  0.825597989775909 -0.466080170570675 0.538446284726317 0.907063431808665 2.859266170212832 0.349740087305521 0.992883501335026 2.666939072058110
17 	 0.016601562500000 0.400000000000000 1.300000000000000  0.508618341649090 -0.041110595339386  0.825785324701703 -0.466013849838697 0.538677941198479 0.906770172015659 2.859266170212832 0.349740087305521 0.992790494698433 2.666865468499782
18 	 0.017578125000000 0.400000000000000 1.300000000000000  0.509123621677208 -0.040183911773164  0.825974395659431 -0.465948940575503 0.538910433373974 0.906473784862803 2.859266170212832 0.349740087305521 0.992697793719092 2.666789188471000
19 	 0.018554687500000 0.400000000000000 1.300000000000000  0.509628613405854 -0.039255842313563  0.826165176054991 -0.465885452386673 0.539143729020571 0.906174314448276 2.859266170212832 0.349740087305521 0.992605411301186 2.666710240586446
20 	 0.019531250000000 0.400000000000000 1.300000000000000  0.510133300794601 -0.038326419583201  0.826357639068476 -0.465823394694521 0.539377795822890 0.905871805214539 2.859266170212832 0.349740087305521 0.992513360260796 2.666628633765922
21 	 0.020507812500000 0.400000000000000 1.300000000000000  0.510637667799198 -0.037395676209582  0.826551757657225 -0.465762776736804 0.539612601385666 0.905566301941974 2.859266170212832 0.349740087305521 0.992421653324727 2.666544377234491
22 	 0.021484375000000 0.400000000000000 1.300000000000000  0.511141698371377 -0.036463644824716  0.826747504558884 -0.465703607565448 0.539848113237004 0.905257849742531 2.859266170212832 0.349740087305521 0.992330303129373 2.666457480522620
23 	 0.022460937500000 0.400000000000000 1.300000000000000  0.511645376458670 -0.035530358064762  0.826944852294491 -0.465645896045282 0.540084298831639 0.904946494053394 2.859266170212832 0.349740087305521 0.992239322219601 2.666367953466322
24 	 0.023437500000000 0.400000000000000 1.300000000000000  0.512148686004213 -0.034595848569689  0.827143773171580 -0.465589650852809 0.540321125554191 0.904632280630683 2.859266170212832 0.349740087305521 0.992148723047677 2.666275806207294
25 	 0.024414062500000 0.400000000000000 1.300000000000000  0.512651610946564 -0.033660148982952  0.827344239287288 -0.465534880474967 0.540558560722406 0.904315255543131 2.859266170212832 0.349740087305521 0.992058517972215 2.666181049193051
26 	 0.025390625000000 0.400000000000000 1.300000000000000  0.513154135219515 -0.032723291951192  0.827546222531494 -0.465481593207919 0.540796571590414 0.903995465165803 2.859266170212832 0.349740087305521 0.991968719257158 2.666083693177069
