0 	 0.000000000000000 1.234000000000000 1.300000000000000  0.499999999923624 -0.143658243977937  0.785146062205558 -0.855348578477138 0.043351115593170 1.159180436229988 1.491416169318965 0.670503659925278 1.515638255244907 2.505886584372161
1 	 0.000244140625000 1.234000000000000 1.300000000000000  0.500523438390644 -0.143051770567847  0.799540383362061 -0.840042663545133 0.050147978820932 1.132000148780224 1.491416169318965 0.670503659925278 1.508157371735303 2.503175090461236
2 	 0.000488281250000 1.234000000000000 1.300000000000000  0.501046855613608 -0.142444798301979  0.814244838486758 -0.825146817602764 0.057063691069356 1.105466446243358 1.491416169318965 0.670503659925278 1.500828989082420 2.500384039876995
3 	 0.000732421875000 1.234000000000000 1.300000000000000  0.501570231134919 -0.141837314968712  0.829223732553703 -0.810691217872217 0.064098500480789 1.079614761365199 1.491416169318965 0.670503659925278 1.493650332714374 2.497510762934214
4 	 0.000976562500000 1.234000000000000 1.300000000000000  0.502093543117645 -0.141229308423927  0.844441543763836 -0.796700683740716 0.071251517716065 1.054472207964266 1.491416169318965 0.670503659925278 1.486618629310507 2.494552494297241
5 	 0.001220703125000 1.234000000000000 1.300000000000000  0.502616770553110 -0.140620769132116  0.859864658068552 -0.783193659962204 0.078520999364800 1.030056434393650 1.491416169318965 0.670503659925278 1.479731037301708 2.491506383496373
6 	 0.001464843750000 1.234000000000000 1.300000000000000  0.503139890892052 -0.140011687622547  0.875462640513663 -0.770181975749062 0.085904519253652 1.006375509055012 1.491416169318965 0.670503659925278 1.472984738007790 2.488369485343649
7 	 0.001708984375000 1.234000000000000 1.300000000000000  0.503662882140535 -0.139402056876564  0.891209636946349 -0.757670556533155 0.093399332827514 0.983427816599667 1.491416169318965 0.670503659925278 1.466376867589219 2.485138770711374
8 	 0.001953125000000 1.234000000000000 1.300000000000000  0.504185720592898 -0.138791869962992  0.907085218741283 -0.745657836245516 0.101002593103374 0.961202851172733 1.491416169318965 0.670503659925278 1.459904601907489 2.481811119891435
9 	 0.002197265625000 1.234000000000000 1.300000000000000  0.504708382811896 -0.138181122275614  0.923075119111449 -0.734136139038154 0.108711708755405 0.939682003384788 1.491416169318965 0.670503659925278 1.453565090254265 2.478383334072859
10 	 0.002441406250000 1.234000000000000 1.300000000000000  0.505230843461044 -0.137569809341888  0.939171402167111 -0.723092606530347 0.116524516593804 0.918840006819532 1.491416169318965 0.670503659925278 1.447355534449147 2.474852132520641
11 	 0.002685546875000 1.234000000000000 1.300000000000000  0.505753077166248 -0.136957928916229  0.955372350625845 -0.712510074940299 0.124439542392659 0.898646316038976 1.491416169318965 0.670503659925278 1.441273124576153 2.471214165427471
12 	 0.002929687500000 1.234000000000000 1.300000000000000  0.506275056443583 -0.136345478955508  0.971681878033484 -0.702368302626710 0.132456051179001 0.879066865089061 1.491416169318965 0.670503659925278 1.435315112808538 2.467466016001564
13 	 0.003173828125000 1.234000000000000 1.300000000000000  0.506796753440645 -0.135732459574826  0.988108564165635 -0.692645120760347 0.140574140858855 0.860065694157205 1.491416169318965 0.670503659925278 1.429478751303346 2.463604215662497
14 	 0.003417968750000 1.234000000000000 1.300000000000000  0.507318137954615 -0.135118871183190  1.004664399757375 -0.683317729693516 0.148794621671876 0.841606681137611 1.491416169318965 0.670503659925278 1.423761361212033 2.459625252420065
15 	 0.003662109375000 1.234000000000000 1.300000000000000  0.507839179052042 -0.134504716308900  1.021363128175245 -0.674363900525690 0.157118910072350 0.823655100517220 1.491416169318965 0.670503659925278 1.418160272822895 2.455525589738855
16 	 0.003906250000000 1.234000000000000 1.300000000000000  0.508359843171427 -0.133889997889336  1.038218550198202 -0.665763125486149 0.165548729920649 0.806179039996679 1.491416169318965 0.670503659925278 1.412672890176438 2.451301682980997
17 	 0.004150390625000 1.234000000000000 1.300000000000000  0.508880095620058 -0.133274720972912  1.055242454442006 -0.657497669306256 0.174085818608321 0.789150633490347 1.491416169318965 0.670503659925278 1.407296633502985 2.446950003684819
