0 	 0.000000000000000 1.234100000000000 1.300000000000000  0.500000000000000 -0.143613877412918  0.785888965258716 -0.857367678287529 0.041508985437184 1.159862320968666 1.489316710634266 0.671448854941104 1.518027485191360 2.505040872871922
1 	 0.000122070312500 1.234100000000000 1.300000000000000  0.500262390374376 -0.143311094436429  0.793306335638349 -0.849375690442880 0.044932604365074 1.145770251740009 1.489316710634266 0.671448854941104 1.514217114050385 2.503673709772031
2 	 0.000244140625000 1.234100000000000 1.300000000000000  0.500524778307183 -0.143008179199922  0.800810262316144 -0.841489067977649 0.048387635164322 1.131845879576095 1.489316710634266 0.671448854941104 1.510446355446102 2.502286357544764
3 	 0.000366210937500 1.234100000000000 1.300000000000000  0.500787161353656 -0.142705130064058  0.808395472809396 -0.833712875932944 0.051874207559357 1.118095409212121 1.489316710634266 0.671448854941104 1.506714842167683 2.500878469169114
4 	 0.000488281250000 1.234100000000000 1.300000000000000  0.501049537062633 -0.142401945475553  0.816056599669669 -0.826051838485169 0.055392357802941 1.104524493894625 1.489316710634266 0.671448854941104 1.503022204241895 2.499449691215659
5 	 0.000610351562500 1.234100000000000 1.300000000000000  0.501311902973344 -0.142098623965445  0.823788242111066 -0.818510291838889 0.058942033399390 1.091138177068690 1.489316710634266 0.671448854941104 1.499368069376693 2.497999663789476
6 	 0.000732421875000 1.234100000000000 1.300000000000000  0.501574256612183 -0.141795164147497  0.831585028589858 -0.811092143211227 0.062523099258924 1.077940843502711 1.489316710634266 0.671448854941104 1.495752063372535 2.496528020480844
7 	 0.000854492187500 1.234100000000000 1.300000000000000  0.501836595489457 -0.141491564716695  0.839441679535994 -0.803800836505979 0.066135345183076 1.064936180510039 1.489316710634266 0.671448854941104 1.492173810518795 2.495034388321343
8 	 0.000976562500000 1.234100000000000 1.300000000000000  0.502098917096111 -0.141187824447877  0.847353068972442 -0.796639324851292 0.069778494547119 1.052127149355004 1.489316710634266 0.671448854941104 1.488632933960330 2.493518387749574
9 	 0.001098632812500 1.234100000000000 1.300000000000000  0.502361218900417 -0.140883942194459  0.855314284250764 -0.789610050295736 0.073452214027412 1.039515967061093 1.489316710634266 0.671448854941104 1.485129056050607 2.491979632583806
10 	 0.001220703125000 1.234100000000000 1.300000000000000  0.502623498344629 -0.140579916887284  0.863320682685416 -0.782714930565961 0.077156124188157 1.027104098323333 1.489316710634266 0.671448854941104 1.481661798677284 2.490417730006123
11 	 0.001342773437500 1.234100000000000 1.300000000000000  0.502885752841588 -0.140275747533559  0.871367944367180 -0.775955352958592 0.080889810732415 1.014892257427590 1.489316710634266 0.671448854941104 1.478230783576214 2.488832280555590
