0 	 0.000000000000000 1.234200000000000 1.300000000000000  0.500000000000001 -0.143569209224214  0.786623857570825 -0.859432414278207 0.039641565435342 1.160572859401084 1.487128043095139 0.672437053852282 1.520444359928395 2.504183621058315
1 	 0.000122070312500 1.234200000000000 1.300000000000000  0.500263072041582 -0.143266826094879  0.794337877781908 -0.851111490469070 0.043106632871357 1.146004764944270 1.487128043095139 0.672437053852282 1.516582127662083 2.502794700567431
2 	 0.000244140625000 1.234200000000000 1.300000000000000  0.500526141827955 -0.142964301048120  0.802143665990762 -0.842904210141917 0.046605247432246 1.131617470975407 1.487128043095139 0.672437053852282 1.512760698749909 2.501384937746100
3 	 0.000366210937500 1.234200000000000 1.300000000000000  0.500789207100794 -0.142661632555797  0.810034769008380 -0.834816750930967 0.050137515932820 1.117418584911698 1.487128043095139 0.672437053852282 1.508979676318230 2.499953962913860
4 	 0.000488281250000 1.234200000000000 1.300000000000000  0.501052265595532 -0.142358819171672  0.818004626692239 -0.826854868501901 0.053703430829046 1.103415033673275 1.487128043095139 0.672437053852282 1.505238662010610 2.498501398980334
5 	 0.000610351562500 1.234200000000000 1.300000000000000  0.501315315038230 -0.142055859529720  0.826046634240440 -0.819023818380861 0.057302876115337 1.089612965850317 1.487128043095139 0.672437053852282 1.501537255225867 2.497026861588555
6 	 0.000732421875000 1.234200000000000 1.300000000000000  0.501578353142421 -0.141752752342572  0.834154240554995 -0.811328322425742 0.060935635317000 1.076017714142562 1.487128043095139 0.672437053852282 1.497875054690414 2.495529958787963
7 	 0.000854492187500 1.234200000000000 1.300000000000000  0.501841377605942 -0.141449496400064  0.842321011838124 -0.803772507937188 0.064601400830242 1.062633723871504 1.487128043095139 0.672437053852282 1.494251657697435 2.494010291195477
8 	 0.000976562500000 1.234200000000000 1.300000000000000  0.502104386107731 -0.141146090567906  0.850540729084119 -0.796359891696430 0.068299785395983 1.049464541458108 1.487128043095139 0.672437053852282 1.490666661585569 2.492467451672770
9 	 0.001098632812500 1.234200000000000 1.300000000000000  0.502367376304585 -0.140842533786456  0.858807447551194 -0.789093337746350 0.072030334209662 1.036512770313609 1.487128043095139 0.672437053852282 1.487119662981929 2.490901025508793
10 	 0.001220703125000 1.234200000000000 1.300000000000000  0.502630345827899 -0.140538825069605  0.867115587964638 -0.781975059683788 0.075792539059204 1.023780085383955 1.487128043095139 0.672437053852282 1.483610259193115 2.489310590104277
11 	 0.001342773437500 1.234200000000000 1.300000000000000  0.502893292280333 -0.140234963503763  0.875459986707386 -0.775006597032632 0.079585852269124 1.011267215375910 1.487128043095139 0.672437053852282 1.480138047453747 2.487695715179546
